"customerid","name","customeremail","customerphone","jumlah_barang","total_order","total_pembelian"
16,"Annelise Genders","agenders72@virginia.edu#mailto:agenders72@virginia.edu#","240-191-9933",9,3,3263.00
152,"Margaretta Gales","mgales3v@123-reg.co.uk#mailto:mgales3v@123-reg.co.uk#","626-430-8051",13,3,6602.00
202,"Toiboid Cowper","tcowper25@netlog.com#mailto:tcowper25@netlog.com#","682-326-7927",12,3,6879.00
230,"Angelika Purchon","apurchonep@live.com#mailto:apurchonep@live.com#","606-688-7776",9,3,2748.00
308,"Babara Abrahamsson","babrahamssonje@twitter.com#mailto:babrahamssonje@twitter.com#","267-258-0401",10,3,3652.00
504,"Derrek Shalloo","dshalloo5i@redcross.org#mailto:dshalloo5i@redcross.org#","509-980-7050",10,3,1960.00
510,"Werner Spark","wspark10@mashable.com#mailto:wspark10@mashable.com#","703-179-7835",15,3,6630.70
520,"Krystyna Coyte","kcoytenm@bandcamp.com#mailto:kcoytenm@bandcamp.com#","215-676-8212",13,3,5430.00
522,"Patricia Sherrott","psherrottp2@e-recht24.de#mailto:psherrottp2@e-recht24.de#","302-391-3666",10,3,5890.00
710,"Edwina Byrd","ebyrdcf@twitter.com#mailto:ebyrdcf@twitter.com#","405-677-9612",10,3,2660.00
719,"Jobye Hambelton","jhambelton76@moonfruit.com#mailto:jhambelton76@moonfruit.com#","951-239-4546",9,3,3204.00
864,"Alina Lockley","alockleyn8@behance.net#mailto:alockleyn8@behance.net#","937-977-4017",11,3,4766.00
914,"Whitby MacDowal","wmacdowalb6@themeforest.net#mailto:wmacdowalb6@themeforest.net#","619-410-8955",15,3,7565.00
1016,"Lily O'Reilly","loreillyk9@noaa.gov#mailto:loreillyk9@noaa.gov#","407-745-9384",14,3,6941.00
1078,"Johnathan Ramsbotham","jramsbothamly@pagesperso-orange.fr#mailto:jramsbothamly@pagesperso-orange.fr#","785-829-9822",12,3,3598.00
1102,"Roland Shiel","rshielcz@photobucket.com#mailto:rshielcz@photobucket.com#","212-166-6213",14,3,4776.00
1334,"Adel Duberry","aduberryoq@hugedomains.com#mailto:aduberryoq@hugedomains.com#","609-890-5816",14,4,7670.00
1549,"Harlan Faulconer","hfaulconerbv@msu.edu#mailto:hfaulconerbv@msu.edu#","409-649-7964",15,3,9365.00
1796,"Judah Redwin","jredwin34@joomla.org#mailto:jredwin34@joomla.org#","573-587-7548",6,3,4494.00
1809,"Saundra Ambler","samblerrf@dagondesign.com#mailto:samblerrf@dagondesign.com#","412-676-9574",7,3,4975.00
1878,"Blake Heditch","bheditchad@icq.com#mailto:bheditchad@icq.com#","305-763-2489",14,3,6836.00
